code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300633,开立医疗,医疗保健,深圳,103.41,1.97,4.06,22.43,14.23,0.66,3.07,0.76,0.157,3.36,6.42,20170406,6.3,1.55,-0.38,-62.71,65.71,8.05,10090.0
300083,劲胜智能,元器件,广东,0.0,12.51,14.31,79.91,47.91,8.69,36.67,2.56,-0.057999999999999996,1.86,1.54,20100520,-25.08,-1.75,5.2,18.66,11.56,-1.89,42750.0
603917,合力科技,汽车配件,浙江,20.23,0.8,1.57,12.81,7.23,2.65,2.9,1.85,0.36200000000000004,6.07,1.61,20171204,4.41,2.82,1.11,-15.75,31.93,13.75,12516.0
300596,利安隆,化工原料,天津,25.43,1.22,2.05,31.78,15.59,5.7,9.15,4.46,1.18,9.11,3.98,20170119,6.97,3.4,26.92,47.85,30.9,15.27,6662.0
600570,恒生电子,软件服务,浙江,56.07,8.03,8.03,67.21,45.93,3.49,4.26,0.53,1.001,4.74,15.77,20031216,25.26,3.14,17.02,122.86,97.66,34.99,96850.0
300055,万邦达,环境保护,北京,25.18,8.63,8.65,75.71,31.48,7.1,36.15,4.18,0.19399999999999998,6.69,0.97,20100226,12.32,1.42,-39.0,-30.07,29.92,25.11,50034.0
000626,远大控股,商贸代理,江苏,41.48,4.64,5.43,72.71,67.19,1.28,13.02,2.4,0.125,4.89,1.41,19961128,8.49,1.56,4.39,176.51,1.31,0.13,26617.0
600722,金牛化工,化工原料,河北,100.99,6.8,6.8,12.31,10.41,1.34,16.45,2.42,0.036000000000000004,1.47,3.31,19960626,-14.2,-2.09,-6.76,-37.05,8.23,3.51,45558.0
002296,辉煌科技,通信设备,河南,35.52,3.29,3.77,18.31,12.24,1.78,6.68,1.77,0.154,3.95,1.85,20090929,3.75,1.0,11.07,46.26,47.4,19.6,45111.0
603232,格尔软件,软件服务,上海,0.0,0.73,1.21,6.99,5.35,0.69,1.9,1.57,-0.045,4.88,6.06,20170421,2.5,2.07,-2.77,-149.02,62.92,-3.64,8322.0
600848,上海临港,园区开发,上海,28.85,7.88,19.03,328.66,197.32,3.97,31.08,1.63,0.64,4.6,5.28,19940324,26.95,1.42,-14.46,20.47,68.29,36.92,67990.0
000936,华西股份,化纤,江苏,8.48,8.85,8.86,131.57,82.28,4.54,5.54,0.63,0.537,5.7,1.07,19990810,32.61,3.68,18.78,62.42,6.65,19.07,74918.0
300368,汇金股份,IT设备,河北,124.7,4.59,5.32,20.05,11.69,1.86,1.3,0.24,0.049,1.61,5.04,20140123,1.63,0.31,-25.94,-49.68,28.39,5.55,41207.0
300130,新国都,IT设备,深圳,19.76,3.41,4.84,33.21,16.75,3.85,10.01,2.07,0.64,5.08,3.27,20101019,9.73,2.01,57.67,152.25,26.79,12.7,19893.0
002265,西仪股份,汽车配件,云南,0.0,3.04,3.19,13.87,5.9,4.33,5.72,1.8,-0.071,2.77,3.07,20080806,-0.42,-0.13,-13.05,-2067.27,11.89,-4.47,37251.0
300328,宜安科技,铝,广东,77.71,4.6,4.6,19.55,10.03,5.89,4.62,1.0,0.113,2.75,4.26,20120619,3.03,0.66,14.01,1.83,20.81,6.57,29700.0
002560,通达股份,电气设备,河南,22.11,2.7,4.44,29.14,16.36,2.77,7.56,1.7,0.17800000000000002,3.67,1.43,20110303,3.8,0.86,-21.17,183.38,17.43,6.17,31838.0
600822,上海物贸,商贸代理,上海,77.69,3.96,4.96,24.96,18.54,3.28,17.83,3.59,0.09699999999999999,1.32,7.67,19940204,-16.95,-3.42,6.32,18.48,5.44,0.9,54473.0
300720,海川智能,电器仪表,广东,36.79,0.42,1.08,5.11,3.81,0.9,1.53,1.41,0.28800000000000003,4.32,3.26,20171106,1.8,1.66,5.75,5.57,62.73,26.49,9237.0
002933,新兴装备,航空,北京,35.95,0.48,1.17,15.84,14.93,0.24,6.5,5.53,0.765,12.62,2.91,20180828,6.32,5.39,10.54,0.32,76.22,32.79,20110.0
603277,银都股份,专用机械,浙江,12.91,1.56,4.1,25.92,19.87,3.29,7.4,1.81,0.561,4.73,2.04,20170911,6.82,1.66,16.58,16.56,45.16,17.91,20324.0
300741,华宝股份,食品,西藏,16.06,1.16,6.16,78.66,61.55,2.99,46.08,7.48,1.3530000000000002,11.97,2.42,20180301,18.01,2.92,2.01,6.16,76.04,55.63,30653.0
300338,开元股份,文教休闲,湖南,59.52,1.99,3.43,28.72,9.58,1.91,13.12,3.82,0.13699999999999998,6.21,1.75,20120726,4.7,1.37,23.16,-53.95,75.75,3.89,8421.0
603368,柳药股份,医药商业,广西,12.08,2.56,2.59,127.24,108.99,6.06,20.38,7.87,2.12,16.23,2.1,20141204,17.83,6.88,27.53,40.1,12.37,4.93,15411.0
600739,辽宁成大,商贸代理,辽宁,14.91,15.3,15.3,376.95,72.08,38.97,64.04,4.19,0.685,14.06,0.97,19960819,124.02,8.11,-2.69,49.99,14.12,7.6,70938.0
603017,中衡设计,建筑工程,江苏,15.6,2.7,2.75,31.29,17.75,3.63,10.22,3.71,0.48100000000000004,6.53,1.53,20141231,5.07,1.84,10.56,15.49,25.63,11.37,16658.0
002457,青龙管业,塑料,宁夏,18.38,3.34,3.35,34.92,23.19,4.52,8.21,2.45,0.31,5.55,1.37,20100803,6.63,1.98,75.4,176.4,32.32,7.75,50745.0
002159,三特索道,旅游服务,湖北,66.98,1.39,1.39,31.41,8.43,13.0,4.59,3.31,0.13,8.04,1.44,20070817,2.97,2.14,3.76,-88.66,58.35,3.45,9785.0
603900,莱绅通灵,服饰,江苏,15.57,0.85,3.4,26.97,24.98,0.65,10.94,3.21,0.423,6.87,1.28,20161123,7.91,2.32,-22.79,-32.41,58.28,14.09,18947.0
002491,通鼎互联,通信设备,江苏,71.82,11.77,12.62,106.03,54.87,17.08,13.69,1.09,0.067,4.06,1.57,20101021,23.49,1.86,-13.74,-82.07,23.19,2.93,99258.0
300444,双杰电气,电气设备,北京,40.55,3.19,5.86,40.31,24.36,5.06,3.16,0.54,0.08900000000000001,2.57,1.86,20150423,5.84,1.0,-8.01,-74.2,25.39,4.18,25163.0
603098,森特股份,装修装饰,北京,19.29,0.75,4.8,36.62,30.77,2.17,3.88,0.81,0.40299999999999997,4.18,2.48,20161216,9.44,1.97,34.41,22.84,19.87,7.91,17760.0
300154,瑞凌股份,元器件,深圳,19.39,3.17,4.56,19.0,16.8,0.8,7.4,1.62,0.2,3.6,1.44,20101229,3.38,0.74,-11.33,8.6,33.63,23.41,18747.0
300234,开尔新材,陶瓷,浙江,20.9,1.72,2.9,12.35,7.01,2.16,4.15,1.43,0.34,3.19,2.87,20110622,2.72,0.94,254.64,4638.6,30.31,21.47,13856.0
600552,凯盛科技,玻璃,安徽,38.69,7.4,7.64,72.32,48.28,11.76,9.6,1.26,0.1,3.25,1.59,20021108,7.25,0.95,43.54,5.2,12.95,2.49,40088.0
002713,东易日盛,装修装饰,北京,0.0,4.01,4.2,32.35,16.64,5.53,4.25,1.01,-0.317,2.01,3.16,20140219,-1.32,-0.31,-5.38,-257.6,32.64,-4.79,15319.0
300420,五洋停车,机械基件,江苏,24.75,4.69,7.16,26.47,14.86,2.65,4.71,0.66,0.168,2.3,2.42,20150217,4.39,0.61,33.84,35.16,35.6,13.76,24524.0
002380,科远智慧,电气设备,江苏,28.44,1.43,2.4,25.33,18.95,4.24,13.91,5.8,0.35600000000000004,9.03,1.49,20100331,4.66,1.94,22.49,16.7,42.3,17.66,18747.0
603967,中创物流,仓储物流,山东,21.39,0.67,2.67,24.77,17.47,2.39,8.96,3.36,0.63,6.95,2.28,20190429,5.89,2.21,0.0,0.0,7.6,4.45,29575.0
