date,open,high,close,low,volume,amount
2017-07-12,24.2,24.55,24.36,23.78,1412430.0,34097195.0
2017-07-11,25.68,25.85,24.34,24.13,2408665.0,60104544.0
2017-07-10,25.57,26.1,25.76,25.56,1874376.0,48402367.0
2017-07-07,25.4,25.7,25.56,25.38,989964.0,25266612.0
2017-07-06,25.75,25.99,25.45,25.36,1405144.0,36048488.0
2017-07-05,25.33,25.8,25.8,25.32,1190990.0,30420601.0
2017-07-04,25.35,25.67,25.52,25.35,891570.0,22708085.0
2017-07-03,25.64,25.64,25.4,25.1,1225010.0,31007554.0
2017-06-30,25.85,25.85,25.43,25.26,1502281.0,38347488.0
2017-06-29,25.55,26.15,26.06,25.49,1251840.0,32429845.0
2017-06-28,26.05,26.25,25.7,25.53,1032114.0,26634263.0
2017-06-27,26.13,26.49,26.16,26.01,1688300.0,44331502.0
2017-06-26,25.85,26.29,26.23,25.58,1578179.0,40938820.0
2017-06-23,25.35,25.94,25.94,25.18,1703294.0,43543610.0
2017-06-22,26.35,26.35,25.43,25.36,2021770.0,52414328.0
2017-06-21,26.5,26.52,26.39,26.02,2234070.0,58550730.0
2017-06-20,26.27,27.45,26.62,26.24,4633988.0,124386307.0
2017-06-19,26.3,26.32,26.21,25.9,1797784.0,46997754.0
2017-06-16,26.21,26.34,26.27,25.81,2383114.0,62099533.0
2017-06-15,25.31,26.49,26.24,25.31,3803569.0,99430233.0
2017-06-14,24.99,25.93,25.47,24.98,1949850.0,49627766.0
2017-06-13,24.68,25.39,25.13,24.51,1240749.0,31184332.0
2017-06-12,25.3,25.48,24.7,24.6,1435605.0,36063815.0
2017-06-09,25.77,25.77,25.62,25.27,1546453.0,39433741.0
2017-06-08,26.0,26.29,25.8,25.71,2157753.0,55902886.0
2017-06-07,25.9,26.45,26.19,25.66,3666166.0,95735131.0
2017-06-06,25.22,26.38,25.95,25.05,4333050.0,112000599.0
2017-06-05,25.28,26.08,25.42,25.02,2341987.0,59582066.0
2017-06-02,24.47,25.59,25.29,24.0,2650059.0,66146019.0
2017-06-01,24.95,25.28,24.63,24.59,1965964.0,48985051.0
2017-05-31,24.39,26.48,25.34,24.17,4038266.0,102816095.0
2017-05-26,24.23,24.4,24.07,24.0,853722.0,20624579.0
2017-05-25,24.08,24.66,24.24,23.4,1379027.0,33072343.0
2017-05-24,23.26,24.29,24.08,23.26,1205300.0,28755809.0
2017-05-23,24.66,24.97,23.55,23.5,1788588.0,43417123.0
2017-05-22,25.63,25.85,24.89,24.71,1748200.0,44257203.0
2017-05-19,25.59,26.46,25.69,25.46,2647025.0,68901096.0
2017-05-18,25.65,25.87,25.53,25.2,1608403.0,41025448.0
2017-05-17,24.82,26.78,25.86,24.81,3667580.0,95047703.0
2017-05-16,24.35,25.18,25.11,23.98,2056861.0,50496700.0
2017-05-15,24.4,24.99,24.34,24.34,1228092.0,30223830.0
2017-05-12,24.9,25.15,24.55,24.15,2340955.0,57562116.0
2017-05-11,25.58,25.93,25.26,24.03,2668443.0,66981134.0
2017-05-10,25.69,26.89,26.13,25.51,4428653.0,116593038.0
2017-05-09,25.09,25.8,25.79,24.6,2024580.0,51218944.0
2017-05-08,24.7,25.86,25.29,24.65,1911100.0,48644807.0
2017-05-05,24.9,25.3,24.81,24.8,834500.0,20883673.0
2017-05-04,25.0,25.45,25.15,24.8,996598.0,25154397.0
2017-05-03,25.45,25.67,25.14,24.91,1192086.0,30021966.0
2017-05-02,25.46,25.81,25.44,25.42,919970.0,23547636.0
2017-04-28,25.36,25.87,25.6,25.33,1131520.0,28966438.0
2017-04-27,24.88,25.9,25.67,24.3,2261211.0,56926538.0
2017-04-26,25.01,25.22,24.88,24.7,1067660.0,26639566.0
2017-04-25,24.48,25.98,25.19,24.48,1407800.0,35457437.0
2017-04-24,24.92,25.0,24.3,24.1,1404536.0,34350021.0
2017-04-21,25.6,25.79,25.09,24.92,1352555.0,34084650.0
2017-04-20,25.38,26.14,25.8,24.8,1951876.0,49790117.0
2017-04-19,26.0,26.0,25.46,25.0,1700951.0,43038170.0
2017-04-18,26.6,26.95,26.16,26.1,904682.0,24030003.0
2017-04-17,26.95,27.43,26.69,26.36,1010903.0,27049014.0
2017-04-14,27.42,27.58,27.26,26.98,1006880.0,27447282.0
2017-04-13,27.46,27.89,27.55,27.32,734109.0,20280220.0
2017-04-12,27.97,27.97,27.5,27.4,741900.0,20534946.0
2017-04-11,27.6,28.06,27.99,27.15,1189020.0,32848084.0
2017-04-10,28.98,28.98,27.6,27.53,1627012.0,45578228.0
2017-04-07,28.98,29.1,28.98,28.83,928340.0,26876616.0
2017-04-06,29.0,29.44,28.99,28.85,967096.0,28116473.0
2017-04-05,28.29,29.11,28.96,28.29,989726.0,28621253.0
2017-03-31,28.96,29.23,28.51,28.31,1272065.0,36680907.0
2017-03-30,29.05,29.05,28.33,27.86,1506990.0,42695934.0
2017-03-29,29.99,30.03,29.01,29.01,1344528.0,39538263.0
2017-03-28,29.8,30.2,29.83,29.68,985459.0,29470437.0
2017-03-27,30.21,30.28,29.74,29.7,1235264.0,36887792.0
2017-03-24,30.16,30.28,30.2,29.78,1270302.0,38158972.0
2017-03-23,30.61,31.15,30.15,29.63,1779932.0,54070685.0
2017-03-22,31.3,31.34,30.6,30.55,1557849.0,48029463.0
2017-03-21,31.94,31.94,31.48,31.31,2063386.0,64956021.0
2017-03-20,30.92,32.08,31.9,30.6,3127162.0,98620341.0
2017-03-17,31.25,31.79,31.0,31.0,2210663.0,69548564.0
2017-03-16,31.25,31.54,31.37,31.15,1894409.0,59332779.0
2017-03-15,30.81,31.68,31.24,30.81,1781895.0,55702652.0
2017-03-14,31.12,31.48,31.2,30.82,1528190.0,47655094.0
2017-03-13,30.75,31.19,31.16,30.2,1314150.0,40545576.0
2017-03-10,31.18,31.3,30.75,30.7,1380129.0,42703692.0
2017-03-09,31.57,31.6,31.0,31.0,1684517.0,52714825.0
2017-03-08,31.88,31.92,31.18,31.04,1804657.0,56737571.0
2017-03-07,31.0,31.74,31.25,31.0,2314840.0,72528948.0
2017-03-06,30.0,31.0,30.89,30.0,1930038.0,59521148.0
2017-03-03,30.09,30.35,30.15,29.27,1434919.0,42886352.0
2017-03-02,30.5,30.6,30.1,30.1,1141208.0,34635550.0
2017-03-01,30.5,30.88,30.34,30.3,1262208.0,38542197.0
2017-02-28,30.26,30.5,30.42,30.16,1102319.0,33442776.0
2017-02-27,30.84,30.99,30.15,30.05,1632463.0,49727609.0
2017-02-24,30.59,31.12,30.8,30.59,2073204.0,63986433.0
2017-02-23,30.64,31.39,30.65,30.32,2325822.0,71617617.0
2017-02-22,30.3,30.92,30.64,30.09,1760715.0,53841264.0
2017-02-21,29.3,31.64,30.33,29.3,2557878.0,78379596.0
2017-02-20,28.9,29.48,29.48,28.8,1037694.0,30267008.0
2017-02-17,29.6,29.76,28.97,28.88,1427473.0,41755777.0
2017-02-16,29.67,29.95,29.62,29.38,1128567.0,33413418.0
2017-02-15,30.4,30.66,29.66,29.63,1680819.0,50696030.0
2017-02-14,30.35,30.81,30.56,30.25,1275958.0,38990036.0
2017-02-13,30.09,30.8,30.47,29.96,1532517.0,46702460.0
2017-02-10,30.61,30.75,30.18,30.12,1559873.0,47332968.0
2017-02-09,30.24,30.54,30.5,29.91,2108824.0,63804961.0
2017-02-08,29.5,30.78,30.25,29.31,2126427.0,64102588.0
2017-02-07,29.85,30.14,29.5,29.3,1377067.0,40839081.0
2017-02-06,29.49,30.38,29.85,29.15,2041220.0,60705412.0
2017-02-03,29.9,29.97,29.2,29.02,1261701.0,36951693.0
