date,close,high,low,open,volume
2017-03-15,22.4340,22.4340,18.6960,18.6960,39.0000
2017-03-16,24.6780,24.6780,24.6780,24.6780,24.0000
2017-03-17,27.1500,27.1500,27.1500,27.1500,3.0000
2017-03-20,29.8690,29.8690,29.8690,29.8690,56.0000
2017-03-21,32.8550,32.8550,32.8550,32.8550,36.0000
2017-03-22,36.1370,36.1370,36.1370,36.1370,55.0000
2017-03-23,39.7560,39.7560,39.7560,39.7560,70.0000
2017-03-24,43.7300,43.7300,43.7300,43.7300,114.0000
2017-03-27,48.1000,48.1000,48.1000,48.1000,291.0000
2017-03-28,52.9150,52.9150,52.9150,52.9150,497.0000
2017-03-29,58.2050,58.2050,58.2050,58.2050,695.0000
2017-03-30,59.4310,64.0280,57.6710,64.0280,124100.0000
2017-03-31,57.4630,59.3220,55.0810,56.7420,74615.0000
2017-04-05,57.5420,58.1360,54.3790,56.3560,42090.0000
2017-04-06,58.6500,60.2610,57.1270,57.7400,42936.0000
2017-04-07,59.3620,59.6480,56.3660,57.9180,40857.0000
2017-04-10,57.1370,58.6790,55.2680,58.6790,36169.0000
2017-04-11,56.1380,57.5030,51.5110,57.0080,36232.0000
2017-04-12,54.1120,54.9720,52.4110,54.8730,18814.0000
2017-04-13,54.7640,55.2680,53.0730,54.1120,14358.0000
2017-04-14,54.8530,54.9720,53.5880,54.2400,13508.0000
2017-04-17,53.9440,54.9030,51.5110,53.8840,15870.0000
2017-04-18,53.8350,54.3690,52.5100,53.5880,9453.0000
2017-04-19,55.8520,56.1580,52.8960,53.7950,14922.0000
2017-04-20,57.2950,57.8190,53.9240,55.4660,18676.0000
2017-04-21,58.0660,59.2230,56.4650,57.1270,21631.0000
2017-04-24,57.3640,58.0270,55.3870,57.1470,17241.0000
2017-04-25,56.7120,57.4440,54.3790,57.3940,27995.0000
2017-04-26,57.2750,57.7100,54.9520,56.0590,15306.0000
2017-04-27,58.2640,58.8280,56.3560,57.2750,20778.0000
2017-04-28,57.7400,58.8870,57.0280,58.1360,15206.0000
2017-05-02,52.4210,57.8090,51.9660,57.7400,35435.0000
2017-05-03,47.1810,47.1810,47.1810,47.1810,56707.0000
2017-05-04,43.7300,47.1810,43.5130,44.4920,55162.0000
2017-05-05,43.5520,44.2940,43.1270,43.4530,29710.0000
2017-05-08,41.7330,43.4930,41.6540,43.4930,24124.0000
2017-05-09,42.2570,42.4250,41.0310,41.6440,15940.0000
2017-05-10,40.8930,42.9590,40.7050,41.9210,15760.0000
