date,close,high,low,open,volume
2010-01-20,6.734,7.251,6.646,7.137,94246.790
2010-01-21,7.408,7.408,6.931,6.931,66089.990
2010-01-22,7.711,8.012,6.884,7.446,101957.620
2010-01-25,6.940,7.443,6.940,7.351,42714.380
2010-01-26,6.343,6.959,6.248,6.791,43198.680
2010-01-27,6.284,6.507,6.248,6.248,24990.360
2010-01-28,6.011,6.288,5.885,6.286,27171.550
2010-01-29,5.949,6.201,5.821,5.928,22832.540
2010-02-01,6.421,6.464,5.741,5.812,39109.590
2010-02-02,6.739,6.872,6.426,6.518,42072.640
2010-02-03,6.841,6.995,6.450,6.796,40792.280
2010-02-04,6.758,6.971,6.692,6.782,29059.460
2010-02-05,6.658,6.684,6.177,6.563,22546.100
2010-02-08,6.521,6.684,6.462,6.616,10472.870
2010-02-09,6.255,6.563,6.232,6.516,12866.450
2010-02-10,6.478,6.495,6.227,6.329,13710.330
2010-02-11,6.618,6.701,6.379,6.383,16317.760
2010-02-12,6.827,6.874,6.568,6.616,14581.710
2010-02-22,6.843,6.943,6.696,6.829,15619.660
2010-02-23,7.061,7.175,6.763,6.843,17997.890
2010-02-24,7.275,7.296,6.926,7.054,16198.640
2010-02-25,7.192,7.583,7.180,7.351,23589.410
2010-03-01,7.133,7.208,7.019,7.159,16961.100
2010-03-02,7.137,7.225,6.997,7.130,13234.530
2010-03-03,7.095,7.370,7.069,7.137,16727.690
2010-03-04,6.713,7.078,6.706,7.007,18109.840
2010-03-05,6.706,6.827,6.627,6.710,9254.800
2010-03-08,6.867,6.943,6.677,6.706,9121.650
2010-03-09,7.334,7.374,6.763,6.867,21444.730
2010-03-10,7.078,7.275,6.974,7.275,12462.760
2010-03-11,7.358,7.510,6.952,7.047,20335.510
2010-03-12,7.287,7.702,7.208,7.374,25315.720
2010-03-15,7.185,7.291,7.042,7.280,10163.770
2010-03-16,7.114,7.346,6.995,7.211,8722.660
2010-03-17,7.351,7.393,7.085,7.085,11273.850
2010-03-18,7.410,7.446,7.211,7.446,11208.270
2010-03-19,7.493,7.517,7.327,7.410,12090.990
2010-03-22,7.562,7.706,7.379,7.493,12846.830
2010-03-23,7.687,7.697,7.469,7.540,12894.080
2010-03-24,7.820,7.941,7.626,7.659,16001.790
2010-03-25,7.922,8.294,7.723,7.801,23640.100
2010-03-26,7.664,7.813,7.585,7.801,17866.520
2010-03-29,7.958,7.958,7.607,7.692,18124.860
2010-03-30,8.302,8.339,7.849,7.898,16842.790
2010-03-31,8.321,8.425,8.228,8.366,15976.550
2010-04-01,8.228,8.603,8.207,8.321,21736.570
2010-04-02,8.328,8.441,8.015,8.181,14798.970
2010-04-06,8.479,8.479,8.271,8.373,10251.590
2010-04-07,9.286,9.328,8.394,8.487,22784.190
2010-04-09,9.390,9.508,8.655,8.655,33494.570
2010-04-12,9.490,9.826,9.399,9.580,16528.990
2010-04-13,8.892,9.485,8.555,9.290,23861.160
2010-04-14,8.643,9.053,8.543,8.873,11366.570
2010-04-15,8.105,8.750,7.948,8.558,13345.710
2010-04-16,8.162,8.358,7.967,8.017,11008.720
2010-04-19,7.868,8.316,7.868,8.159,11349.270
2010-04-20,7.759,7.863,7.351,7.597,27776.270
2010-04-21,8.145,8.235,7.590,7.730,19367.300
2010-04-22,8.598,8.674,8.062,8.133,22118.600
2010-04-23,8.271,8.648,8.230,8.534,13883.410
2010-04-26,8.311,8.520,8.067,8.192,12041.420
2010-04-27,7.585,8.472,7.481,8.299,16135.860
2010-04-28,7.569,7.756,7.140,7.469,11099.220
2010-04-29,7.080,7.706,7.066,7.612,6748.000
2010-04-30,7.256,7.469,7.007,7.116,9905.050
2010-05-04,7.303,7.441,7.038,7.118,5762.220
2010-05-05,7.564,7.612,7.166,7.235,11671.650
2010-05-06,7.142,7.635,7.142,7.588,10472.640
2010-05-07,6.950,7.061,6.758,7.007,13746.720
2010-05-10,6.692,7.014,6.478,6.950,9024.550
2010-05-11,6.450,6.924,6.284,6.829,9346.160
2010-05-12,6.341,6.568,6.236,6.435,6266.820
2010-05-13,6.492,6.556,6.201,6.343,8072.190
2010-05-14,6.447,6.492,6.284,6.414,7959.090
2010-05-17,6.137,6.402,6.120,6.402,7556.940
2010-05-19,6.450,6.556,6.189,6.189,9477.860
2010-05-20,6.355,6.606,6.296,6.402,7842.250
2010-05-21,6.848,6.848,6.175,6.215,11022.180
2010-05-24,7.050,7.137,6.876,6.917,12263.910
2010-05-25,6.907,7.035,6.846,7.019,8312.650
2010-05-26,6.912,6.971,6.848,6.926,4069.920
2010-05-27,7.090,7.204,6.803,6.876,8931.480
2010-05-28,7.405,7.539,7.153,7.185,14595.130
2010-05-31,6.980,7.426,6.980,7.289,13036.790
2010-06-01,6.543,6.897,6.448,6.814,11042.720
2010-06-02,6.796,6.834,6.492,6.543,8510.590
2010-06-03,6.787,7.060,6.784,6.840,12684.500
2010-06-04,7.084,7.102,6.683,6.766,13285.600
2010-06-07,7.393,7.501,6.918,6.929,29152.620
2010-06-08,7.414,7.492,7.209,7.429,19404.550
2010-06-09,7.691,8.146,7.554,7.667,32893.510
2010-06-10,7.884,7.988,7.503,7.503,25995.970
2010-06-11,7.878,8.024,7.813,7.828,17692.890
2010-06-18,7.090,7.533,7.090,7.405,19519.860
2010-06-21,7.272,7.376,6.739,7.081,9535.110
2010-06-22,7.298,7.501,7.173,7.248,7960.220
2010-06-23,7.450,7.530,7.117,7.197,11245.360
2010-06-24,7.495,7.584,7.346,7.438,10596.540
2010-06-25,7.120,7.578,6.989,7.435,11825.290
2010-06-28,6.870,7.206,6.846,7.034,6380.320
2010-06-29,6.195,6.929,6.183,6.855,16430.460
2010-06-30,6.290,6.305,5.948,6.040,11156.370
2010-07-01,6.008,6.305,6.008,6.299,8722.760
2010-07-02,5.933,6.058,5.657,5.966,6970.690
2010-07-05,5.886,5.933,5.704,5.799,6480.490
2010-07-06,6.082,6.121,5.874,5.918,9122.610
2010-07-07,6.320,6.388,6.082,6.091,15314.640
2010-07-08,6.204,6.382,6.150,6.308,9185.960
2010-07-09,6.370,6.442,6.141,6.207,11806.070
2010-07-12,6.344,6.483,6.305,6.350,7495.000
2010-07-13,6.272,6.364,6.106,6.364,8863.450
2010-07-14,6.248,6.394,6.189,6.332,7777.040
2010-07-15,6.037,6.329,6.037,6.248,5564.120
2010-07-16,5.912,6.064,5.719,6.037,11564.950
2010-07-19,6.091,6.091,5.755,5.799,10124.730
2010-07-20,6.237,6.287,6.037,6.067,14265.860
2010-07-21,6.257,6.379,6.171,6.257,18062.180
2010-07-22,6.341,6.353,6.195,6.245,12904.400
2010-07-23,6.483,6.483,6.269,6.347,24503.510
2010-07-26,6.439,6.596,6.353,6.537,17261.340
2010-07-27,6.341,6.415,6.269,6.415,13061.650
2010-07-28,6.474,6.495,6.302,6.302,22566.000
2010-07-29,6.635,6.644,6.427,6.489,24656.760
