date,close,high,low,open,volume
2017-05-11,25.400,25.400,21.170,21.170,61.000
2017-05-12,27.940,27.940,27.940,27.940,30.000
2017-05-15,30.730,30.730,30.730,30.730,45.000
2017-05-16,33.800,33.800,33.800,33.800,70.000
2017-05-17,37.180,37.180,37.180,37.180,236.000
2017-05-18,40.900,40.900,40.900,40.900,439.000
2017-05-19,44.990,44.990,44.990,44.990,1050.000
2017-05-22,40.540,49.300,40.490,49.300,94313.000
2017-05-23,42.200,43.780,39.500,39.510,78675.000
2017-05-24,43.410,44.290,40.500,40.660,72580.000
2017-05-25,40.900,42.980,39.850,42.650,63063.000
2017-05-26,44.990,44.990,41.000,41.000,78262.000
2017-05-31,43.960,49.490,43.800,48.980,103623.000
2017-06-01,41.430,43.800,40.660,43.100,68073.000
2017-06-02,41.440,42.500,39.500,40.000,42985.000
2017-06-05,41.540,43.680,41.460,42.800,50024.000
2017-06-06,41.540,41.740,40.010,41.000,28202.000
2017-06-07,43.250,44.120,41.230,41.550,53307.000
2017-06-08,43.290,44.290,42.700,43.000,47177.000
2017-06-09,43.720,44.180,43.060,43.350,36623.000
2017-06-12,39.370,42.440,39.350,42.440,63991.000
2017-06-13,40.180,40.650,39.110,39.110,38235.000
2017-06-14,39.310,40.080,38.720,39.890,31356.000
2017-06-15,40.290,40.680,39.050,39.100,30500.000
2017-06-16,39.730,40.280,39.520,40.030,17759.000
2017-06-19,39.770,40.160,39.500,39.760,12889.000
2017-06-20,39.800,40.260,39.660,40.070,15891.000
2017-06-21,39.320,40.000,39.000,39.990,17505.000
2017-06-22,38.270,39.490,38.080,39.210,17921.000
2017-06-23,38.150,38.650,37.030,38.080,18639.000
2017-06-26,38.650,38.850,37.760,38.060,9686.000
2017-06-27,38.600,39.060,38.350,38.650,9210.000
2017-06-28,37.780,38.440,37.610,38.440,9729.000
2017-06-29,37.830,38.210,37.700,37.700,6567.000
2017-06-30,38.820,39.100,37.480,37.660,17810.000
2017-07-03,39.180,39.250,38.300,38.720,15753.000
2017-07-04,39.180,39.550,38.910,39.150,10322.000
2017-07-05,40.240,40.350,39.120,39.420,18932.000
2017-07-06,40.450,40.640,40.010,40.160,19157.000
2017-07-07,41.330,42.320,40.610,40.610,27070.000
2017-07-10,40.040,40.860,39.480,40.660,25709.000
2017-07-11,39.510,40.750,39.210,40.500,12155.000
2017-07-12,39.930,39.960,38.300,39.380,14652.000
2017-07-13,39.270,39.860,39.170,39.860,9354.000
2017-07-14,39.280,39.500,39.000,39.400,7165.000
2017-07-17,35.350,39.060,35.350,39.030,19248.000
2017-07-18,35.630,35.800,34.540,35.360,12378.000
2017-07-19,35.640,35.740,34.730,35.300,9780.000
2017-07-20,35.760,36.490,35.520,35.520,10364.000
2017-07-21,35.190,36.000,35.010,35.530,8024.000
2017-07-24,35.290,35.890,34.720,34.820,9945.000
2017-07-25,35.280,35.650,35.110,35.280,7414.000
2017-07-26,35.000,35.490,34.830,35.170,6258.000
2017-07-27,36.710,36.760,34.880,34.880,15958.000
2017-07-28,36.320,36.700,35.820,36.500,10034.000
2017-07-31,37.280,37.350,36.050,36.280,13056.000
2017-08-01,37.200,37.410,36.520,37.190,9856.000
2017-08-02,36.360,37.110,36.210,36.980,8177.000
