date,open,high,close,low,volume,amount
2017-08-21,37.1,37.59,37.22,37.0,428672.0,16013456.0
2017-08-18,37.71,37.96,37.28,37.1,682250.0,25595909.0
2017-08-17,37.3,38.3,37.83,37.23,938526.0,35417615.0
2017-08-16,37.19,37.86,37.8,36.9,1148881.0,42943384.0
2017-08-15,36.68,38.2,37.49,36.53,1813938.0,67724653.0
2017-08-14,36.95,38.66,36.95,36.78,1843307.0,68905143.0
2017-08-11,34.35,37.88,36.88,34.11,2056360.0,74442245.0
2017-08-10,36.2,36.2,34.59,34.5,1375240.0,48576479.0
2017-08-09,34.2,36.49,36.38,33.55,1306532.0,45449103.0
2017-08-08,34.27,34.58,34.15,33.88,278466.0,9487969.0
2017-08-07,34.28,34.28,34.22,34.03,147850.0,5049037.0
2017-08-04,34.4,34.59,34.1,33.99,322650.0,11004999.0
2017-08-03,34.23,34.85,34.5,33.96,324530.0,11147487.0
2017-08-02,34.99,34.99,34.2,34.0,718458.0,24617798.0
2017-08-01,35.43,35.73,35.06,34.4,552000.0,19289341.0
2017-07-31,34.61,35.9,35.6,34.6,432502.0,15358698.0
2017-07-28,34.62,35.39,34.89,34.62,505851.0,17717310.0
2017-07-27,33.72,35.39,34.77,33.72,587076.0,20336106.0
2017-07-26,34.34,34.45,33.92,33.84,220350.0,7519099.0
2017-07-25,34.65,34.66,34.43,33.79,304330.0,10400742.0
2017-07-24,33.77,34.74,34.52,33.52,469885.0,16074477.0
2017-07-21,33.75,34.79,33.77,33.75,325400.0,11095318.0
2017-07-20,33.71,34.67,33.73,33.61,400258.0,13640666.0
2017-07-19,33.95,34.67,33.81,33.35,392353.0,13269556.0
2017-07-18,32.48,34.18,33.85,32.42,529700.0,17743790.0
2017-07-17,34.9,35.16,32.77,31.55,913150.0,30837304.0
2017-07-14,34.53,35.21,35.03,34.31,398942.0,13889480.0
2017-07-13,35.35,35.35,34.55,34.01,608024.0,21193282.0
2017-07-12,36.01,36.3,35.4,34.5,798200.0,27990535.0
2017-07-11,36.36,36.76,36.14,35.62,444000.0,16069647.0
2017-07-10,36.6,36.86,36.57,36.35,531450.0,19462692.0
2017-07-07,36.38,37.41,36.99,36.31,810102.0,29959280.0
2017-07-06,36.66,36.9,36.57,36.2,496735.0,18120356.0
2017-07-05,36.23,36.94,36.66,36.14,469448.0,17176210.0
2017-07-04,36.58,36.7,36.4,36.06,673610.0,24422142.0
2017-07-03,35.82,37.36,36.35,35.45,1565187.0,56806819.0
2017-06-30,35.79,36.21,35.8,35.7,530550.0,19070441.0
2017-06-29,36.0,36.4,35.85,35.61,433130.0,15566991.0
2017-06-28,37.39,37.39,36.38,35.51,888636.0,32227549.0
2017-06-27,37.24,38.14,37.13,37.02,623922.0,35236493.0
2017-06-26,37.42,37.79,37.16,36.96,453083.0,25579403.0
2017-06-23,37.16,37.46,37.44,36.57,585490.0,32553920.0
2017-06-22,38.84,39.09,37.16,37.08,645135.0,37074103.0
2017-06-21,38.42,39.8,39.02,38.17,816390.0,48127124.0
