date,close,high,low,open,volume
2017-08-17,25.290,25.290,21.070,21.070,86.000
2017-08-18,27.820,27.820,27.820,27.820,32.000
2017-08-21,30.600,30.600,30.600,30.600,90.000
2017-08-22,33.660,33.660,33.660,33.660,79.000
2017-08-23,37.030,37.030,37.030,37.030,188.000
2017-08-24,40.730,40.730,40.730,40.730,1089.000
2017-08-25,44.800,44.800,44.800,44.800,1659.000
2017-08-28,49.280,49.280,49.280,49.280,614.000
2017-08-29,54.210,54.210,54.210,54.210,1403.000
2017-09-01,59.630,59.630,59.630,59.630,5941.000
2017-09-04,65.590,65.590,60.120,62.660,123676.000
2017-09-05,59.030,61.500,59.030,59.080,78283.000
2017-09-06,56.010,58.850,54.180,56.700,55946.000
2017-09-07,57.190,58.830,55.980,56.000,51084.000
2017-09-08,53.480,56.480,52.500,55.200,48373.100
2017-09-11,56.570,56.830,53.000,54.100,41852.780
2017-09-12,57.750,60.800,55.010,55.720,54013.390
2017-09-13,59.500,60.500,55.550,56.000,57231.400
2017-09-14,56.540,59.500,56.200,59.120,44818.370
2017-09-15,54.530,57.450,54.010,56.110,35210.230
2017-09-18,51.630,54.020,51.050,53.520,30474.940
