date,close,high,low,open,volume
2016-06-02,32.2280,32.2280,26.8570,26.8570,150.0000
2016-06-03,35.4510,35.4510,35.4510,35.4510,53.0000
2016-06-06,38.9920,38.9920,38.9920,38.9920,64.0000
2016-06-07,42.8920,42.8920,42.8920,42.8920,21.0000
2016-06-08,47.1790,47.1790,47.1790,47.1790,66.0000
2016-06-13,51.8940,51.8940,51.8940,51.8940,241.0000
2016-06-14,57.0860,57.0860,57.0860,57.0860,202.0000
2016-06-15,62.7950,62.7950,62.7950,62.7950,206.0000
2016-06-16,69.0720,69.0720,69.0720,69.0720,214.0000
2016-06-17,75.9750,75.9750,75.9750,75.9750,586.0000
2016-06-20,83.5750,83.5750,83.5750,83.5750,765.0000
2016-06-21,91.9300,91.9300,91.9300,91.9300,668.0000
2016-06-22,101.1210,101.1210,101.1210,101.1210,1030.0000
2016-06-23,111.2370,111.2370,111.2370,111.2370,1285.0000
2016-06-24,122.3580,122.3580,122.3580,122.3580,2671.0000
2016-06-27,134.5930,134.5930,134.5930,134.5930,1669.0000
2016-06-28,148.0510,148.0510,148.0510,148.0510,2314.0000
2016-06-29,162.8520,162.8520,162.8520,162.8520,3902.0000
2016-06-30,174.2420,178.0510,165.6970,171.0880,178779.0000
2016-07-01,174.9380,180.5380,167.2390,169.1490,104506.0000
2016-07-04,179.0260,184.8150,175.0470,175.0470,78861.0000
2016-07-05,194.0160,196.9310,175.8830,179.0260,115443.0000
2016-07-06,184.9250,190.6840,182.6270,189.0030,90705.0000
2016-07-07,182.7260,188.8740,177.0860,184.9150,60663.0000
2016-07-08,178.9470,184.3980,178.6080,181.3340,43324.0000
2016-07-11,161.7980,181.4730,161.1610,177.0960,73347.0000
2016-07-12,169.6960,172.1830,154.2280,160.5250,66105.0000
2016-07-13,168.9000,176.3600,165.7170,167.1100,50475.0000
2016-07-14,168.5820,170.9590,164.8220,167.1100,32786.0000
2016-07-15,169.8750,173.5750,167.1100,169.0790,34522.0000
2016-07-18,162.9220,168.8110,162.0170,168.1140,27418.0000
2016-07-19,164.6230,165.3690,161.2210,162.5340,21843.0000
2016-07-20,171.0590,174.9180,164.3440,164.3440,45344.0000
2016-07-21,162.8820,172.0430,162.7330,170.0940,38217.0000
2016-07-22,155.3720,164.0060,154.0690,161.2410,36394.0000
2016-07-25,153.1340,155.1330,148.5580,153.8600,27977.0000
2016-07-26,156.0680,158.4460,152.6870,152.6870,23894.0000
2016-07-27,140.6010,156.6060,140.4620,154.7750,44755.0000
2016-07-28,136.3830,142.1230,132.2950,140.6010,30940.0000
2016-07-29,137.4680,141.2380,133.8870,135.2790,27621.0000
2016-08-01,128.4460,135.3590,125.3320,135.2690,26963.0000
2016-08-02,129.1120,130.8830,126.9340,128.6150,21261.0000
2016-08-03,134.1060,135.2590,126.8240,129.1620,35133.0000
2016-08-04,135.8060,138.0640,131.5990,133.7870,31969.0000
2016-08-05,130.8030,135.2490,130.5840,135.2490,22872.0000
2016-08-08,134.2350,134.2650,125.4620,128.3160,26290.0000
2016-08-09,137.9150,138.9400,133.2900,133.3000,33162.0000
2016-08-10,137.9950,141.7450,136.7710,137.6270,28933.0000
2016-08-11,134.3040,137.7160,134.2940,136.2740,20418.0000
2016-08-12,138.4130,139.7550,134.4930,134.4930,27326.0000
2016-08-15,141.7550,143.1170,136.0750,139.0590,33115.0000
2016-08-16,141.6950,145.6040,141.0190,141.2470,28692.0000
2016-08-17,143.7340,145.1270,141.1580,141.7450,27435.0000
2016-08-18,145.1370,148.7080,143.2370,143.8340,33361.0000
2016-08-19,141.5960,145.9230,140.7200,144.7290,22255.0000
2016-08-22,131.3200,141.5960,130.9030,141.2970,26908.0000
2016-08-23,134.5630,137.5570,130.3060,130.3260,21335.0000
2016-08-24,135.3690,137.0700,132.7130,135.2790,14675.0000
2016-08-25,135.3090,135.6970,130.3060,134.1750,16997.0000
2016-08-26,132.3450,137.0400,131.9570,134.2850,18189.0000
2016-08-29,131.3800,133.8670,130.3060,132.2950,11235.0000
2016-08-30,131.8970,132.9810,130.9520,132.1160,11058.0000
2016-08-31,135.6270,136.1250,130.4150,132.1860,25337.0000
2016-09-01,133.3000,136.5230,133.2900,135.2690,18962.0000
2016-09-02,131.1810,133.2600,130.0070,132.2950,16079.0000
2016-09-05,129.9080,132.0960,129.6000,131.1810,11556.0000
2016-09-06,131.6590,131.7880,127.5310,129.3510,16196.0000
2016-09-07,129.0620,132.7930,128.7140,132.7930,13938.0000
2016-09-08,127.9380,129.9580,127.1330,128.4660,10729.0000
2016-09-09,127.9580,131.4790,126.9340,128.0280,15044.0000
2016-09-12,122.8650,125.5210,122.8550,125.3220,17495.0000
2016-09-13,123.9400,125.2330,123.5020,124.1390,10669.0000
2016-09-14,124.8350,125.5610,122.9450,123.2140,11055.0000
2016-09-19,125.2530,125.9290,124.4470,124.4470,6508.0000
2016-09-20,125.3120,125.6800,124.3470,124.9840,6678.0000
2016-09-21,125.8690,127.3220,124.3570,125.3120,11193.0000
2016-09-22,124.8850,127.0630,124.8350,127.0230,7853.0000
2016-09-23,123.5920,125.7300,123.5220,124.8850,7668.0000
2016-09-26,126.2270,126.8240,122.5470,123.3430,21607.0000
2016-09-27,126.5760,127.8190,124.3380,126.2270,21957.0000
2016-09-28,129.7090,131.5490,126.5760,126.5760,34777.0000
2016-09-29,127.8090,128.5550,125.8300,128.5550,22815.0000
2016-09-30,125.4910,128.1070,125.0440,127.2220,13509.0000
2016-10-10,132.2950,132.3950,125.5010,126.0290,26166.0000
2016-10-11,131.1210,132.2950,130.0070,132.2950,15884.0000
2016-10-12,129.9680,132.2650,129.2120,130.4050,15443.0000
2016-10-13,129.2220,131.2010,128.8140,130.3060,10304.0000
2016-10-14,129.8380,130.5540,128.9630,129.5100,9399.0000
2016-10-17,123.3230,128.6150,122.8650,128.6150,28083.0000
2016-10-18,123.3830,123.5920,120.2390,122.7060,21532.0000
2016-10-19,123.0150,124.0090,122.2490,123.6710,12079.0000
2016-10-20,123.1240,124.2180,122.6960,123.3530,9823.0000
2016-10-21,123.5720,123.8400,121.8810,122.6470,13348.0000
2016-10-24,125.3720,126.2270,123.3430,123.5620,19683.0000
2016-10-25,127.1330,128.1970,124.8350,125.0340,20092.0000
2016-10-26,128.9330,128.9930,126.3870,126.6750,25839.0000
2016-10-27,127.9180,130.9520,127.1330,129.1220,23927.0000
2016-10-28,129.0920,129.9080,125.5510,126.8240,26519.0000
2016-10-31,127.5210,129.9380,125.7300,129.1120,18086.0000
2016-11-01,130.3060,130.3060,126.4260,127.3320,33715.0000
2016-11-02,127.5210,132.2850,127.1330,130.5840,33648.0000
2016-11-03,126.6650,129.7980,126.3270,129.2910,25050.0000
2016-11-04,126.7940,127.7000,125.3820,125.8400,15534.0000
2016-11-07,125.6310,127.3020,125.4120,126.8740,12815.0000
2016-11-08,125.6310,126.4160,125.0140,126.4070,10550.0000
2016-11-09,129.6890,130.1960,125.3620,126.0090,37420.0000
2016-11-10,132.7530,133.2700,129.3110,129.6890,36964.0000
2016-11-11,133.0910,133.2800,129.1120,132.0960,34353.0000
2016-11-14,131.9970,135.1700,131.0820,133.1010,39512.0000
2016-11-15,130.5540,131.2910,128.8140,131.2610,20116.0000
2016-11-16,129.3710,131.0120,129.3310,130.5540,12647.0000
2016-11-17,126.2570,129.5100,126.1580,129.5100,16041.0000
2016-11-18,127.3120,128.2870,126.3070,126.6250,12857.0000
2016-11-21,128.9630,129.0820,126.1080,126.8240,15283.0000
2016-11-22,131.6780,132.7930,130.2360,130.5840,27421.0000
2016-11-23,127.6100,132.0960,127.3220,132.0960,22363.0000
2016-11-24,125.4910,128.1170,125.1330,126.8240,17421.0000
2016-11-25,125.9290,126.0580,121.9500,125.4810,14319.0000
2016-11-28,123.6810,126.2270,123.6010,126.2080,10205.0000
2016-11-29,122.8550,124.6160,122.8450,123.6410,7825.0000
2016-11-30,123.0050,123.7110,121.9600,121.9700,6695.0000
2016-12-01,124.4170,124.8650,122.3980,123.3430,7265.0000
2016-12-02,120.4380,124.4870,120.2690,124.4870,11660.0000
2016-12-05,118.0710,120.9560,117.4840,119.3840,7952.0000
2016-12-06,118.3690,119.2450,117.9220,118.2300,4629.0000
2016-12-07,119.0560,119.1150,117.9710,118.3690,5194.0000
2016-12-08,116.7780,119.0660,116.7680,119.0560,7183.0000
2016-12-09,111.8140,117.0760,111.6050,117.0560,16321.0000
2016-12-12,100.6340,111.5950,100.6340,110.4420,23409.0000
2016-12-13,98.9230,99.9770,95.6600,99.3510,13775.0000
2016-12-14,100.4350,103.3100,98.4850,98.9230,17413.0000
2016-12-15,101.2410,102.9520,99.4500,99.4700,9139.0000
2016-12-16,101.9570,106.2140,101.3400,105.3190,19420.0000
