date,close,high,low,open,volume
2017-03-06,17.520,17.520,16.060,16.060,96.000
2017-03-07,19.270,19.270,19.270,19.270,29.000
2017-03-08,21.200,21.200,21.200,21.200,62.000
2017-03-09,23.320,23.320,23.320,23.320,101.000
2017-03-10,25.650,25.650,25.650,25.650,93.000
2017-03-13,28.220,28.220,28.220,28.220,162.000
2017-03-14,31.040,31.040,31.040,31.040,127.000
2017-03-15,34.140,34.140,34.140,34.140,231.000
2017-03-16,37.550,37.550,37.550,37.550,296.000
2017-03-17,41.310,41.310,41.310,41.310,423.000
2017-03-20,45.440,45.440,45.440,45.440,892.000
2017-03-21,49.980,49.980,49.980,49.980,2287.000
2017-03-22,54.980,54.980,54.980,54.980,2256.000
2017-03-23,60.480,60.480,60.480,60.480,1302.000
2017-03-24,66.530,66.530,66.530,66.530,4571.000
2017-03-27,73.180,73.180,73.180,73.180,14309.000
2017-03-28,80.100,80.500,77.010,78.500,308227.000
2017-03-29,72.090,80.000,72.090,75.000,204806.000
2017-03-30,64.880,69.760,64.880,69.040,165293.000
2017-03-31,61.850,65.990,60.060,64.020,119600.000
2017-04-05,61.300,61.890,59.020,60.700,77616.000
2017-04-06,61.030,63.620,60.500,60.880,91437.000
2017-04-07,60.490,63.040,59.510,60.360,75474.000
2017-04-10,54.440,59.410,54.440,59.410,91714.000
2017-04-11,54.590,55.290,52.250,53.020,78028.000
2017-04-12,50.700,54.490,50.580,54.000,62667.000
2017-04-13,51.000,52.800,50.800,51.500,46463.000
2017-04-14,51.230,52.200,49.470,50.570,49162.000
2017-04-17,46.110,49.350,46.110,48.510,68988.000
2017-04-18,45.160,47.000,44.600,46.460,41417.000
2017-04-19,46.600,46.660,45.020,45.230,47488.000
2017-04-20,45.240,46.280,44.700,46.200,40925.000
2017-04-21,45.050,46.440,45.000,45.410,25203.000
2017-04-24,44.800,45.580,41.000,45.100,30158.000
2017-04-25,45.240,46.200,44.910,45.310,29443.000
2017-04-26,47.510,48.500,44.930,44.960,52993.000
2017-04-27,48.060,48.680,45.000,45.990,66494.000
2017-04-28,47.610,48.760,47.580,47.770,39700.000
2017-05-02,46.170,48.000,46.160,47.620,30854.000
2017-05-03,45.390,46.580,44.100,45.670,39467.000
2017-05-04,43.860,44.990,43.800,44.990,31189.000
2017-05-05,43.010,44.480,43.000,43.870,27296.000
2017-05-08,40.490,43.340,40.490,42.900,31218.000
2017-05-09,40.890,41.180,39.910,40.060,24994.000
2017-05-10,41.700,44.390,40.810,40.960,49629.000
2017-05-11,43.060,43.630,40.600,41.300,50181.000
2017-05-12,43.150,44.570,42.500,43.600,41755.000
2017-05-15,43.190,43.630,42.320,42.320,26550.000
2017-05-16,44.100,44.180,41.910,43.190,39782.000
2017-05-17,44.880,45.530,43.510,43.990,46213.000
2017-05-18,44.000,45.240,43.880,44.050,29283.000
2017-05-19,43.990,45.380,43.790,44.260,29579.000
2017-05-22,40.610,44.290,40.400,43.980,42111.000
2017-05-23,37.910,40.770,37.810,40.520,36018.000
2017-05-24,38.900,39.100,37.110,37.500,18709.000
2017-05-25,38.810,39.330,37.650,38.720,19677.000
2017-05-26,39.010,39.530,38.510,38.960,16981.000
2017-05-31,38.650,40.860,38.610,40.600,21861.000
2017-06-01,36.000,38.700,35.970,38.700,25603.000
2017-06-02,37.150,37.380,35.880,36.210,18007.000
2017-06-05,37.410,38.100,37.050,37.610,14351.000
2017-06-06,37.170,37.410,36.800,37.120,10940.000
2017-06-07,38.730,38.980,37.100,37.370,24704.000
2017-06-08,38.480,39.150,38.230,38.590,20363.000
2017-06-09,38.370,38.850,37.700,38.600,15078.000
2017-06-12,36.660,37.810,36.530,37.680,17872.000
2017-06-13,38.100,38.350,36.330,36.600,20532.000
2017-06-14,38.050,38.950,37.450,37.950,20683.000
2017-06-15,38.890,39.580,37.800,37.800,30586.000
2017-06-16,38.630,40.460,38.580,39.050,18951.000
2017-06-19,38.550,38.920,38.100,38.700,14006.000
2017-06-20,39.130,39.880,38.560,38.850,34049.000
2017-06-21,38.710,39.600,38.310,39.200,21416.000
2017-06-22,37.430,38.930,37.430,38.680,19043.000
2017-06-23,37.300,37.730,36.350,37.430,16714.000
2017-06-26,37.660,37.720,36.770,37.000,10180.000
2017-06-27,37.800,38.330,37.580,37.840,10524.000
2017-06-28,36.940,37.580,36.880,37.580,11602.000
2017-06-29,37.710,38.070,37.000,37.000,14332.000
2017-06-30,39.870,40.590,37.430,37.480,54144.000
2017-07-03,40.690,40.870,39.400,39.900,38326.000
2017-07-04,41.050,41.180,40.060,40.450,35901.000
2017-07-05,41.000,41.200,40.280,41.150,29506.000
2017-07-06,41.570,42.880,40.750,41.010,39441.000
2017-07-07,43.220,43.880,41.250,41.300,43695.000
2017-07-10,40.530,42.970,40.500,42.970,40907.000
2017-07-11,40.130,41.300,39.780,40.720,18235.000
2017-07-12,39.180,39.490,38.080,38.490,27298.000
2017-07-13,38.520,39.090,38.500,38.600,11182.000
2017-07-14,38.350,38.820,38.020,38.600,8841.000
2017-07-17,34.740,37.990,34.610,37.990,25575.000
2017-07-18,35.770,36.280,34.500,34.730,12408.000
2017-07-19,35.360,35.850,35.100,35.850,13468.000
2017-07-20,35.290,36.460,35.220,35.540,14716.000
2017-07-21,35.290,35.780,35.000,35.290,9943.000
2017-08-07,34.240,35.280,34.100,34.760,20132.000
2017-08-08,33.200,34.540,33.000,34.310,25938.000
2017-08-09,33.480,33.960,33.050,33.320,11647.000
2017-08-10,33.510,33.750,32.760,33.400,11800.000
2017-08-11,33.100,33.660,33.010,33.300,7984.000
2017-08-14,33.800,33.880,33.180,33.330,10018.000
2017-08-15,34.850,35.100,33.900,34.000,15144.000
2017-08-16,37.480,38.200,34.510,34.850,36254.000
2017-08-17,37.820,38.960,36.500,37.420,32734.000
2017-08-18,36.830,38.490,36.810,37.190,16817.000
2017-08-21,37.450,37.650,36.830,36.900,11893.000
2017-08-22,36.450,37.550,36.300,37.410,10100.000
2017-08-23,36.690,37.380,36.310,36.450,9135.000
2017-08-24,35.500,36.890,35.480,36.600,11022.000
2017-08-25,36.110,36.300,35.350,35.400,10579.000
2017-08-28,37.250,37.580,36.240,36.240,16989.000
2017-08-29,38.280,39.490,37.110,37.500,31324.000
2017-08-30,38.100,39.190,37.700,38.030,24552.000
2017-08-31,39.080,39.460,37.800,37.800,32982.000
2017-09-01,38.770,39.340,38.130,39.150,24546.000
2017-09-04,38.830,39.910,38.140,38.800,23878.000
2017-09-05,38.230,39.150,38.160,38.280,13079.000
2017-09-06,38.400,38.490,37.180,38.050,21422.000
2017-09-07,40.140,40.400,38.220,38.220,44494.000
2017-09-08,39.860,40.640,39.350,40.050,26299.170
2017-09-11,42.990,43.820,39.950,40.610,66156.460
2017-09-12,43.880,47.000,43.300,43.810,87300.890
2017-09-13,44.060,45.180,43.060,43.060,45107.860
2017-09-14,42.300,44.410,41.700,44.410,46682.270
2017-09-15,41.510,42.460,41.320,42.130,23618.150
2017-09-18,42.290,42.800,40.860,41.170,33181.620
2017-09-19,41.390,42.300,41.270,41.970,19546.980
2017-09-20,41.550,41.840,40.900,41.000,20937.430
2017-09-21,40.900,42.080,40.750,41.560,18050.550
2017-09-22,42.110,42.350,40.660,40.800,28107.160
2017-09-25,40.910,42.680,40.780,42.000,22344.360
2017-09-26,39.260,41.090,38.800,40.720,25372.880
2017-09-27,40.370,40.590,39.060,39.260,15044.140
2017-09-28,41.030,41.370,39.830,40.350,17994.890
2017-09-29,41.130,41.450,40.600,41.300,14620.680
2017-10-09,41.940,42.220,41.050,41.620,17849.240
2017-10-10,42.220,42.290,41.510,42.270,15932.210
2017-10-11,41.660,42.380,41.660,42.220,13169.710
2017-10-12,41.080,42.000,40.610,41.740,13690.710
2017-10-13,41.770,42.100,40.880,40.970,14413.790
2017-10-16,40.060,42.100,40.000,41.690,16351.030
2017-10-17,40.380,40.780,39.800,40.100,6888.680
2017-10-18,39.450,40.600,39.290,40.200,9670.250
2017-10-19,39.110,39.930,39.060,39.860,9104.600
2017-10-20,40.000,40.160,39.110,39.110,7300.200
2017-10-23,39.910,40.270,39.590,40.270,7377.000
2017-10-24,39.420,40.290,39.010,39.930,5919.700
2017-10-25,40.090,40.150,39.240,39.600,7777.000
