date,close,high,low,open,volume
2016-06-07,7.216,7.216,7.216,7.216,117.000
2016-06-08,7.936,7.936,7.936,7.936,27.000
2016-06-13,8.730,8.730,8.730,8.730,42.000
2016-06-14,9.604,9.604,9.604,9.604,41.000
2016-06-15,10.563,10.563,10.563,10.563,154.000
2016-06-16,11.620,11.620,11.620,11.620,105.000
2016-06-17,12.783,12.783,12.783,12.783,130.000
2016-06-20,14.059,14.059,14.059,14.059,162.000
2016-06-21,15.464,15.464,15.464,15.464,303.000
2016-06-22,17.009,17.009,17.009,17.009,321.000
2016-06-23,18.712,18.712,18.712,18.712,280.000
2016-06-24,20.584,20.584,20.584,20.584,1690.000
2016-06-27,22.645,22.645,22.645,22.645,1036.000
2016-06-28,24.910,24.910,24.910,24.910,796.000
2016-06-29,27.402,27.402,27.402,27.402,524.000
2016-06-30,30.144,30.144,30.144,30.144,3630.000
2016-07-01,33.158,33.158,33.158,33.158,6042.000
2016-07-04,36.475,36.475,36.475,36.475,2520.000
2016-07-05,40.125,40.125,40.125,40.125,1258.000
2016-07-06,44.138,44.138,44.138,44.138,998.000
2016-07-07,48.553,48.553,48.553,48.553,1676.000
2016-07-08,53.409,53.409,51.150,52.416,164068.000
2016-07-11,48.389,53.633,48.071,51.646,106255.000
2016-07-12,47.088,48.076,43.577,46.472,75011.000
2016-07-13,47.336,49.551,45.399,46.184,60745.000
2016-07-14,46.025,47.306,45.618,46.700,39331.000
2016-07-15,46.253,47.252,45.702,46.184,34443.000
2016-07-18,44.138,45.687,43.825,45.687,38790.000
2016-07-19,42.723,43.949,41.357,43.949,43574.000
2016-07-20,42.628,43.145,42.261,42.658,23677.000
2016-07-21,41.625,42.797,41.476,42.608,28328.000
2016-07-22,39.291,41.461,39.048,41.218,42383.000
2016-07-25,40.170,40.721,37.493,38.640,39014.000
2016-07-26,40.309,41.670,39.485,40.115,35824.000
2016-07-27,37.265,40.225,36.649,39.728,38724.000
2016-07-28,36.316,37.483,35.408,36.997,28004.000
2016-07-29,37.166,38.139,36.009,36.311,35402.000
2016-08-01,34.509,36.401,33.769,36.401,26727.000
2016-08-02,34.812,35.557,34.265,34.265,18185.000
2016-08-03,36.157,36.202,34.464,34.842,32275.000
2016-08-04,36.004,36.599,35.676,36.098,25014.000
2016-08-05,34.871,35.999,34.827,35.999,22954.000
2016-08-08,35.860,35.904,33.774,34.737,24935.000
2016-08-09,36.262,36.272,35.432,35.596,25893.000
2016-08-10,39.882,39.887,36.009,36.252,80407.000
2016-08-11,38.740,40.076,38.675,39.033,55741.000
2016-08-12,39.043,39.852,38.089,38.338,38106.000
2016-08-15,39.822,40.279,38.487,38.983,45484.000
2016-08-16,39.554,40.716,39.490,39.808,40223.000
2016-08-17,39.251,39.852,38.839,39.281,31271.000
2016-08-18,39.917,40.016,38.933,39.033,35832.000
2016-08-19,40.587,42.211,40.001,40.210,52817.000
2016-08-22,37.185,39.907,37.076,39.907,39911.000
2016-08-23,37.444,37.727,36.609,36.748,18579.000
2016-08-24,37.156,37.677,36.997,37.493,14399.000
2016-08-25,36.421,36.997,35.606,36.997,20722.000
2016-08-26,35.974,36.739,35.944,36.520,14226.000
2016-08-29,35.949,36.351,35.706,35.974,9417.000
2016-08-30,36.063,36.277,35.855,35.964,11337.000
2016-08-31,37.295,37.732,35.919,36.153,29641.000
2016-09-01,36.143,37.339,36.103,37.310,19358.000
2016-09-02,35.939,36.475,35.755,35.954,11623.000
2016-09-05,36.048,36.649,35.919,35.939,9236.000
2016-09-06,36.172,36.396,35.010,36.277,13839.000
2016-09-07,35.716,36.431,35.502,36.431,11769.000
2016-09-08,35.477,35.984,35.318,35.507,9113.000
2016-09-09,34.876,35.606,34.812,35.323,10504.000
2016-09-12,33.456,34.022,33.024,34.022,15249.000
2016-09-13,33.421,33.853,33.272,33.779,8915.000
2016-09-14,33.198,33.600,32.944,33.143,7027.000
2016-09-19,33.471,33.674,33.247,33.247,7677.000
2016-09-20,33.406,33.635,33.347,33.521,6673.000
2016-09-21,33.446,33.670,33.287,33.516,7612.000
2016-09-22,33.441,33.670,33.431,33.526,7955.000
2016-09-23,32.403,33.670,32.378,33.451,15093.000
2016-09-26,29.965,32.289,29.935,32.279,19342.000
2016-09-27,30.735,30.913,29.796,29.915,12254.000
2016-09-28,30.710,30.784,30.442,30.690,6647.000
2016-09-29,30.665,31.003,30.591,31.003,6598.000
2016-09-30,30.149,30.665,29.900,30.665,7968.000
2016-10-10,31.360,31.524,30.392,30.541,11904.000
2016-10-11,31.286,31.733,31.052,31.142,9191.000
2016-10-12,31.718,31.832,31.057,31.092,13677.000
2016-10-13,31.703,31.936,31.549,31.723,8816.000
2016-10-14,31.455,31.758,31.077,31.584,9779.000
