date,open,close,high,low,volume
2011-07-06,6.7400,9.1890,10.1090,6.7170,199336.0000
2011-07-07,8.2690,8.2690,8.2690,8.2690,5582.0000
2011-07-08,7.4450,7.8490,8.4670,7.4450,126130.0000
2011-07-11,8.0460,8.2780,8.5010,8.0010,80565.0000
2011-07-12,8.2690,8.4530,8.6780,8.1340,60067.0000
2011-07-13,8.6080,8.6730,8.7350,8.3260,48768.0000
2011-07-14,8.6020,9.0590,9.0760,8.4670,47974.0000
2011-07-15,8.9630,8.8390,9.1580,8.7210,39180.0000
2011-07-18,8.8900,8.7350,8.9690,8.4670,30413.0000
2011-07-19,8.5660,8.7380,8.9180,8.3680,32653.0000
2011-07-20,8.7460,8.3930,8.8340,8.2690,29060.0000
2011-07-21,8.3260,8.0430,8.3510,8.0150,25231.0000
2011-07-22,8.0720,8.2100,8.3370,7.9310,23383.0000
2011-07-25,8.0520,8.0290,8.4130,7.9900,21438.0000
2011-07-26,8.0290,7.7870,8.1220,7.5640,16854.0000
2011-07-27,7.8060,8.2660,8.3570,7.7050,27367.0000
2011-07-28,8.1370,8.1110,8.4100,8.0180,24918.0000
2011-07-29,8.0490,8.3260,8.3740,7.7610,32607.0000
2011-08-01,8.3280,8.9410,9.1580,8.3260,63697.0000
2011-08-02,8.7770,9.3020,9.3130,8.7090,52005.0000
2011-08-03,9.1580,8.6930,9.3110,8.6930,40506.0000
2011-08-04,8.5370,8.1530,8.6220,7.9080,41143.0000
2011-08-05,7.6200,7.7610,7.9450,7.5660,29874.0000
2011-08-08,7.6770,7.2810,7.6770,6.9850,36463.0000
2011-08-09,7.0420,7.1370,7.3070,6.7400,18295.0000
2011-08-10,7.3320,7.3240,7.4480,7.2020,20985.0000
2011-08-11,7.1120,7.4960,7.5580,7.0560,17696.0000
2011-08-12,7.5810,7.4080,7.6370,7.3520,20491.0000
2011-08-15,7.4280,7.6200,7.7270,7.4280,16558.0000
2011-08-16,7.5720,7.5130,7.8910,7.4540,18409.0000
2011-08-17,7.5020,7.5180,7.6200,7.3240,18611.0000
2011-08-18,7.4930,7.1090,7.5240,7.1090,16741.0000
2011-08-19,6.7930,7.2020,7.4110,6.7930,17519.0000
2011-08-22,7.2050,7.3800,7.4900,6.9570,22030.0000
2011-08-23,7.3750,7.7720,7.8150,7.3100,37713.0000
2011-08-24,7.7050,7.6000,7.9840,7.5890,33941.0000
2011-08-25,7.6000,7.5350,7.6770,7.3380,22661.0000
2011-08-26,7.4850,7.9640,7.9730,7.4850,36075.0000
2011-08-29,7.9640,7.9190,8.1280,7.8290,32749.0000
2011-08-30,7.8970,7.5130,8.0040,7.5070,24773.0000
2011-08-31,7.5160,7.4510,7.6060,7.2450,14830.0000
2011-09-01,7.4650,7.2140,7.5780,7.0840,17093.0000
2011-09-02,7.2870,7.1910,7.3290,6.9740,12278.0000
2011-09-05,7.0470,6.9990,7.1690,6.9850,9994.0000
2011-09-06,6.8500,6.5790,7.0440,6.4940,15658.0000
